"","MandateId","SearchStatus","MandateDate","EntryDate","MandateSizeCurrency","MandateSizeAmount","AccountSizeAmount","MandateRegion","Fund","FundType","FundCountry","FundRegion","SearchConsultant","AssetManager","AssetManagerParentFirm","AssetManagerCountry","MainAssetClass","InvestmentApproach","SubAssetClass","CapSize","Style","Benchmark.Index","Month","Region","Year","Quarter","AC2","XR","OriginalAmount"
"205",2147030244,"Completed",2017-07-16,"7/18/2017","USD",50,0,"Europe","Hawaii Employees Retirement System","Public D.B.","United States","North America","Courtland Partners","Angelo Gordon","Angelo Gordon","","Real Estate","Mixed/Unspecified","Value-Added","","","","07","US","2017","Q3","Real Estate",1,0
"208",2147029580,"Completed",2017-03-17,"3/17/2017","USD",12,12,"U.S.","City of Hollywood Employees’ Retirement Fund","Public D.B.","United States","North America","Segal Marco Advisors (formerly Segal Rogerscasey)","Angelo, Gordon & Co.","","United States","Fixed Income","Mixed/Unspecified","","","","","03","US","2017","Q1","Fixed Income",1,12
"209",2147030916,"Completed",2017-06-21,"6/21/2017","USD",100,100,"Europe","Pennsylvania Public School Employees Retirement System","Public D.B.","United States","North America","None","Angelo, Gordon & Co.","","United States","Real Estate","Mixed/Unspecified","","","","","06","US","2017","Q2","Real Estate",1,100
"210",2147030761,"Completed",2017-06-14,"6/14/2017","USD",10,10,"U.S.","Spokane (Wash.) Employees Retirement System","Public D.B.","United States","North America","Hyas Group","Angelo, Gordon & Co.","","United States","Hedge Funds","","Multi-Strategy","","","","06","US","2017","Q2","Hedge Funds",1,10
"211",2147029934,"Completed",2017-05-24,"5/24/2017","USD",450,450,"U.S.","Texas County & District Retirement System","Public D.B.","United States","North America","Cliffwater","Angelo, Gordon & Co.","","United States","Fixed Income","Active","Senior Loans","","","","05","US","2017","Q2","Fixed Income",1,450
"212",2147032411,"Completed",2017-08-22,"8/22/2017","USD",75,75,"Europe","Minnesota State Board of Investments","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Angelo, Gordon & Co.","","United States","Real Estate","Mixed/Unspecified","","","","","08","US","2017","Q3","Real Estate",1,75
"213",2147031249,"Completed",2017-07-03,"7/4/2017","USD",10,10,"Global","Spokane (Wash.) Employees Retirement System","Public D.B.","United States","North America","Hyas Group","Angelo, Gordon & Co.","","United States","Hedge Funds","","Multi-Strategy/Opportunistic/Credit-Focused","","","","07","US","2017","Q3","Hedge Funds",1,10
"221",2147032326,"Completed",2017-08-17,"8/17/2017","USD",150,150,"Global","Virginia Retirement System","Public D.B.","United States","North America","None","Apax Partners","Apax Partners","France","Private Equity","","Buyout/Technology","","","","08","US","2017","Q3","Private Equity",1,150
"222",2147031923,"Completed",2017-08-01,"8/1/2017","USD",150,150,"Global","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","Apollo Aviation Group","","United States","Private Equity","","Special Situations/Distressed","","","","08","US","2017","Q3","Private Equity",1,150
"229",2147028216,"Completed",2017-03-29,"3/29/2017","USD",100,100,"U.S.","Louisiana State Employees Retirement System","Public D.B.","United States","North America","NEPC","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","03","US","2017","Q1","Private Equity",1,100
"231",2147029637,"Completed",2017-03-22,"3/22/2017","USD",75,75,"Global","Kansas Public Employees Retirement System","Public D.B.","United States","North America","LP Capital Advisors","Apollo Global Management","Apollo Global Management","United States","Private Equity","","","","","","03","US","2017","Q1","Private Equity",1,75
"232",2147029577,"Completed",2017-03-17,"3/17/2017","USD",500,500,"Global","Oregon Public Employees' Retirement System","Public D.B.","United States","North America","TorreyCove Capital Partners","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","03","US","2017","Q1","Private Equity",1,500
"233",2147028983,"Completed",2017-02-09,"2/9/2017","USD",50,50,"Europe","State of Wisconsin Investment Board","Public D.B.","United States","North America","StepStone Group","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Special Situations/Distressed","","","","02","US","2017","Q1","Private Equity",1,50
"234",2147030999,"Completed",2017-06-23,"6/23/2017","USD",250,250,"Global","Teachers' Retirement System of the State of Illinois","Public D.B.","United States","North America","None","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","06","US","2017","Q2","Private Equity",1,250
"235",2147030913,"Completed",2017-06-21,"6/21/2017","USD",250,250,"Global","Pennsylvania Public School Employees Retirement System","Public D.B.","United States","North America","None","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","06","US","2017","Q2","Private Equity",1,250
"236",2147030831,"Completed",2017-06-16,"6/16/2017","USD",100,100,"Global","Pennsylvania State Employees Retirement System","Public D.B.","United States","North America","StepStone Group, LP","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout/Special Situations/Distressed","","","","06","US","2017","Q2","Private Equity",1,100
"238",2147030248,"Completed",2017-06-02,"6/2/2017","USD",125,125,"International","Teachers’ Retirement System of Louisiana","Public D.B.","United States","North America","Hamilton Lane Advisors","Apollo Global Management","Apollo Global Management","United States","Private Equity","","","","","","06","US","2017","Q2","Private Equity",1,125
"239",2147030544,"Completed",2017-05-26,"5/26/2017","USD",250,250,"Global","Ohio State Teachers Retirement System","Public D.B.","United States","North America","Callan Associates","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout/Special Situations/Distressed","","","","05","US","2017","Q2","Private Equity",1,250
"241",2147030344,"Completed",2017-05-11,"5/11/2017","USD",35,35,"Global","Anne Arundel County Retirement System","Public D.B.","United States","North America","NEPC","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,35
"242",2147029929,"Completed",2017-05-11,"5/11/2017","USD",150,150,"Global","Connecticut Retirement Plans & Trust Funds","Public D.B.","United States","North America","StepStone Group, LP","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","05","US","2017","Q2","Private Equity",1,150
"243",2147023696,"Completed",2017-04-27,"4/27/2017","USD",20,20,"U.S.","San Antonio Fire & Police Pension Fund","Public D.B.","United States","North America","NEPC","Apollo Global Management","Apollo Global Management","United States","Hedge Funds","","","","","","04","US","2017","Q2","Hedge Funds",1,20
"244",2147030067,"Completed",2017-04-27,"4/27/2017","USD",30,30,"U.S.","Ohio Police & Fire Pension Fund","Public D.B.","United States","North America","TorreyCove Capital Partners","Apollo Global Management","","United States","Private Equity","","Buyout","","","","04","US","2017","Q2","Private Equity",1,30
"245",2147029999,"Completed",2017-04-25,"4/25/2017","USD",0,50,"Global","New Hampshire Retirement System","Public D.B.","United States","North America","NEPC","Apollo Global Management","Apollo Global Management","United States","Alternative","","","","","","04","US","2017","Q2","Other Alternatives",1,50
"246",2147029945,"Completed",2017-04-18,"4/18/2017","USD",7.5,7.5,"Global","Oklahoma City Employees Retirement System","Public D.B.","United States","North America","Asset Consulting Group","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","04","US","2017","Q2","Private Equity",1,7.5
"247",2147029865,"Completed",2017-04-11,"4/11/2017","USD",50,50,"Global","Teachers’ Retirement System of Louisiana","Public D.B.","United States","North America","Hamilton Lane Advisors","Apollo Global Management","Apollo Global Management","United States","Distressed Debt","","","","","","04","US","2017","Q2","Other Alternatives",1,50
"248",2147033064,"Completed",2017-09-21,"9/21/2017","USD",300,300,"Global","California State Teachers Retirement System (CalSTRS)","Public D.B.","United States","North America","None","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","09","US","2017","Q3","Private Equity",1,300
"249",2147032882,"Completed",2017-09-14,"9/14/2017","USD",100,100,"Global","Michigan Retirement Systems","Public D.B.","United States","North America","Aon Hewitt Investment Consulting","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","09","US","2017","Q3","Private Equity",1,100
"250",2147032557,"Completed",2017-08-30,"8/30/2017","USD",480,480,"North America","New York State Common Retirement Fund","Public D.B.","United States","North America","None","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,480
"251",2147032320,"Completed",2017-08-17,"8/17/2017","USD",270,270,"Global","Virginia Retirement System","Public D.B.","United States","North America","None","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,270
"252",2147032100,"Completed",2017-08-08,"8/8/2017","USD",550,550,"Global","California Public Employees Retirement System","Public D.B.","United States","North America","None","Apollo Global Management","","United States","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,550
"253",2147030604,"Completed",2017-08-01,"8/1/2017","USD",200,200,"Global","Florida State Board of Administration","Public D.B.","United States","North America","Cambridge Associates","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","08","US","2017","Q3","Private Equity",1,200
"254",2147031807,"Completed",2017-07-27,"7/28/2017","USD",54.2,54.2,"Global","Los Angeles Department of Water & Power Retirement Plan","Public D.B.","United States","North America","None","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","07","US","2017","Q3","Private Equity",1,54.2
"255",2147031809,"Completed",2017-07-27,"7/28/2017","USD",10.9,10.9,"Global","Los Angeles Department of Water & Power Retirement Plan","Public D.B.","United States","North America","None","Apollo Global Management","Apollo Global Management","United States","Private Equity","","Buyout","","","","07","US","2017","Q3","Private Equity",1,10.9
"256",2147031630,"Completed",2017-07-19,"7/19/2017","USD",50,50,"Global","University of Michigan","Endowment","United States","North America","None","Apollo Global Management","Apollo Global Management","United States","Hedge Funds","","Absolute Return","","","","07","US","2017","Q3","Hedge Funds",1,50
"262",2147028979,"Completed",2017-03-28,"3/28/2017","USD",125,50,"International","Philadelphia Public Employees’ Retirement System","Public D.B.","United States","North America","Marquette Associates","AQR Capital Management","","United States","Equity","Active","","Small-Cap","","MSCI EAFE","03","US","2017","Q1","Equity",1,50
"263",2147029525,"Completed",2017-03-15,"3/15/2017","USD",38.8,19.799999,"U.S.","University of Kentucky","Endowment","United States","North America","Fund Evaluation Group","AQR Capital Management","","United States","Hedge Funds","","","","","","03","US","2017","Q1","Hedge Funds",1,19.799999
"264",2147029243,"Completed",2017-02-27,"2/27/2017","USD",150,150,"International","Massachusetts Pension Reserves Investment Management Board","Public D.B.","United States","North America","Callan Associates","AQR Capital Management","","United States","Equity","Active","","Small-Cap","","","02","US","2017","Q1","Equity",1,150
"265",2147029003,"Completed",2017-02-10,"2/10/2017","USD",0,0,"Global","Detroit General Retirement System","Public D.B.","United States","North America","NEPC","AQR Capital Management","","United States","Hedge Funds","","","","","","02","US","2017","Q1","Hedge Funds",1,0
"266",2147030854,"Completed",2017-06-28,"6/28/2017","USD",750,375,"Global","Louisiana State Employees Retirement System","Public D.B.","United States","North America","NEPC","AQR Capital Management","","United States","Alternative","","Risk Parity","","","","06","US","2017","Q2","Other Alternatives",1,375
